identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year
1729461,A1838,700/1/4,Cyprus,1953 - 1965,1953-01-01,1965-01-01,Canberra,Closed,28 Sep 2020,2020-09-28,Withheld pending adv,2020
1730474,A1838,146/2/1 PART 5,Mauritius - Political - General,1977 - 1981,1977-01-01,1981-01-01,Canberra,Closed,07 Dec 2020,2020-12-07,Withheld pending adv,2020
1730526,A1838,150/2/1 PART 3,Mozambique - Political - General,1976 - 1977,1976-01-01,1977-01-01,Canberra,Closed,30 Nov 2020,2020-11-30,Withheld pending adv,2020
1731795,A1838,156/2/1 PART 1,Equatorial Guinea - Political - General,1968 - 1979,1968-01-01,1979-01-01,Canberra,Closed,07 Dec 2020,2020-12-07,Withheld pending adv,2020
1732711,A1838,683/71/49 PART 1,NIC documents - The Soviet role in Asia,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,15 Oct 2020,2020-10-15,Withheld pending adv,2020
1744528,A1838,69/1/4/24 PART 2,USSR [Union of Soviet Socialist Republics] - Relations with Japan,1958 - 1964,1958-01-01,1964-01-01,Canberra,Closed,13 Aug 2020,2020-08-13,Withheld pending adv,2020
1744530,A1838,69/1/4/24 PART 3,USSR [Union of Soviet Socialist Republics] - Relations with Japan,1964 - 1967,1964-01-01,1967-01-01,Canberra,Closed,06 Aug 2020,2020-08-06,Withheld pending adv,2020
1745155,A1838,73/1/3 PART 30,Yugoslavia - Relations with Australia,1979 - 1980,1979-01-01,1980-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
1745157,A1838,73/1/3 PART 32,Yugoslavia - Relations with Australia,1980 - 1981,1980-01-01,1981-01-01,Canberra,Closed,14 May 2020,2020-05-14,Withheld pending adv,2020
1746237,A1838,185/11/87 PART 4,Nepal - Relations with China and Tibet,1967 - 1976,1967-01-01,1976-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1747657,A1838,169/7/1 PART 38,India - External - Political - Foreign policy,1980 - 1980,1980-01-01,1980-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
1747659,A1838,169/7/1 PART 42,India - External - Political - Foreign policy,1981 - 1981,1981-01-01,1981-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
1749351,A1838,193/1/1 PART 3,Persia (Iran) - Internal - General,1976 - 1978,1976-01-01,1978-01-01,Canberra,Closed,14 Dec 2020,2020-12-14,Withheld pending adv,2020
1749353,A1838,193/1/1 PART 5,Iran - Internal - General,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,17 Dec 2020,2020-12-17,Withheld pending adv,2020
1749362,A1838,193/1/1 PART 13,Iran - Internal - General,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,10 Nov 2020,2020-11-10,Withheld pending adv,2020
1749365,A1838,193/1/1 PART 15,Iran - Internal - General,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,28 Sep 2020,2020-09-28,Withheld pending adv,2020
1749454,A1838,193/2/1 PART 19,Iran - Political - General,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,18 Nov 2020,2020-11-18,Withheld pending adv,2020
1754977,A1838,740/10/6 PART 1,Asia and the Far East - Macao,1970 - 1983,1970-01-01,1983-01-01,Canberra,Closed,27 Aug 2020,2020-08-27,Withheld pending adv,2020
1755079,A1838,680/8/24 PART 1,Sale of arms and warlike stores - Japan,1952 - 1979,1952-01-01,1979-01-01,Canberra,Closed,12 Aug 2020,2020-08-12,Withheld pending adv,2020
1755193,A1838,682/22/7 PART 1,Malacca - Barracks and accommodation,1958 - 1959,1958-01-01,1959-01-01,Canberra,Closed,11 Feb 2020,2020-02-11,Withheld pending adv,2020
1755526,A1838,761/1 PART 24,South Korea - Economic relations with Australia,1981 - 1982,1981-01-01,1982-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
1755768,A1838,689/2/1 PART 2,Papua New Guinea - Outline plan to meet emergencies on the Territory Papua New Guinea-West Iranian border - Plan Paxton,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,29 Jul 2020,2020-07-29,Withheld pending adv,2020
1755772,A1838,689/2/1 PART 3,Papua New Guinea-West Irian border including plan Paxton,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1755774,A1838,689/2/1 PART 4,Papua New Guinea-West Irian border including plan Paxton,1975 - 1978,1975-01-01,1978-01-01,Canberra,Closed,22 Jul 2020,2020-07-22,Withheld pending adv,2020
1755777,A1838,689/2/1 PART 8,Papua New Guinea-West Irian border including plan Paxton,1984 - 1986,1984-01-01,1986-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1755778,A1838,766/3/36 PART 1,China - Economic - Relations with Cambodia,1956 - 1969,1956-01-01,1969-01-01,Canberra,Closed,24 Jun 2020,2020-06-24,Withheld pending adv,2020
1756009,A1838,693/18,United States of America defence - United States aid to Singapore,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,25 Nov 2020,2020-11-25,Withheld pending adv,2020
1756807,A1838,791/4/2 PART 1,Organisation for European Economic Co-operation (OEEC),1952 - 1961,1952-01-01,1961-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1756951,A1838,694/14 PART 2,United States defence procurement in Australia,1971 - 1971,1971-01-01,1971-01-01,Canberra,Closed,18 Aug 2020,2020-08-18,Withheld pending adv,2020
1756953,A1838,694/14 PART 3,United States defence procurement in Australia,1971 - 1971,1971-01-01,1971-01-01,Canberra,Closed,07 Sep 2020,2020-09-07,,2020
1756955,A1838,694/14 PART 5,United States defence procurement in Australia,1971 - 1973,1971-01-01,1973-01-01,Canberra,Closed,14 Sep 2020,2020-09-14,Withheld pending adv,2020
1757342,A1838,696/2/2/1 PART 26,Defence co-operation with Indonesia,1984 - 1984,1984-01-01,1984-01-01,Canberra,Closed,14 Dec 2020,2020-12-14,33(1)(a)|Withheld pending adv,2020
1759411,A6706,46,Money - Various papers,1960 - 1966,1960-01-01,1966-01-01,Canberra,Closed,02 Sep 2020,2020-09-02,Withheld pending adv,2020
1759925,A1838,698/2/11 PART 2,Japan - Defence cooperation,1979 - 1980,1979-01-01,1980-01-01,Canberra,Closed,02 Jun 2020,2020-06-02,Withheld pending adv,2020
1759926,A1838,698/2/11 PART 3,Japan - Defence cooperation,1980 - 1982,1980-01-01,1982-01-01,Canberra,Closed,22 May 2020,2020-05-22,Withheld pending adv,2020
1767481,A1838,1743/1/7 PART 6,Legal and treaties - Antarctica - Antarctic minerals regime,1982 - 1982,1982-01-01,1982-01-01,Canberra,Closed,20 Nov 2020,2020-11-20,Withheld pending adv,2020
1767482,A1838,1743/1/7 PART 7,Legal and treaties - Antarctica - Antarctic minerals regime,1982 - 1983,1982-01-01,1983-01-01,Canberra,Closed,20 Nov 2020,2020-11-20,Withheld pending adv,2020
1799674,A1946,1967/1280,Action to be taken by Australian ships in event of Indonesian attempts to interfere with Australian shipping [1.5cm],1964 - 1968,1964-01-01,1968-01-01,Canberra,Closed,26 Oct 2020,2020-10-26,Closed period|Withheld pending adv,2020
1874268,A1838,73/1/3 PART 35,Yugoslavia - Relations with Australia,1982 - 1983,1982-01-01,1983-01-01,Canberra,Closed,17 Jun 2020,2020-06-17,Withheld pending adv,2020
1901774,A1838,314/2/1 PART 2,Western Samoa - Political - Personalities,1985 - 1992,1985-01-01,1992-01-01,Canberra,Closed,24 Aug 2020,2020-08-24,Withheld pending adv,2020
3016039,A1209,1981/1582,Visit to Australia by Dr Guy Pauker for the establishment of a Pacific energy research consortium (including meeting with Prime Minister),1981 - 1981,1981-01-01,1981-01-01,Canberra,Closed,04 Aug 2020,2020-08-04,Withheld pending adv,2020
3037858,A1209,1957/5585,Kashmir dispute 1953 - Negotiations,1953 - 1953,1953-01-01,1953-01-01,Canberra,Closed,17 Nov 2020,2020-11-17,Withheld pending adv,2020
