title,identifier,series,control_symbol,digitised_status,digitised_pages,access_status,access_decision_reasons,location,retrieved,contents_date_str,contents_start_date,contents_end_date,access_decision_date_str,access_decision_date,reasons
"WYSOKIER, Raphael",272509,A6126,44,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:38:45.491506+11:00,1951 - 1951,1951,1951,31 Oct 1985,1985-10-31,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
Experiences of British Prisoners of War captured in KOREA.,273022,A816,54/301/357,False,0,Closed,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']",Canberra,2022-01-01T13:38:46.549708+11:00,1954 - 1956,1954,1956,03 Aug 2020,2020-08-03,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']"
India-Defence,273111,A1838,169/12 PART 2,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:47.545888+11:00,1960 - 1964,1960,1964,08 Dec 2014,2014-12-08,['Withheld pending adv']
India - Foreign Policy - Relations with USSR [Union of Soviet Socialist Republics],273160,A1838,169/11/52 PART 3,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:48.554747+11:00,1955 - 1957,1955,1957,31 Jul 2012,2012-07-31,['Withheld pending adv']
India Relations with China,273217,A1838,169/11/87 PART 8,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:49.561463+11:00,1960 - 1960,1960,1960,30 Nov 2015,2015-11-30,['Withheld pending adv']
India Relations with China,273218,A1838,169/11/87 PART 9,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:50.592622+11:00,1960 - 1960,1960,1960,25 May 2016,2016-05-25,['Withheld pending adv']
Jewish Unity Association,273769,A6122,155,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:38:51.587857+11:00,1948 - 1951,1948,1951,01 Mar 2012,2012-03-01,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
Czechoslovakian Community in Sydney and Canberra,273782,A6122,160,False,0,Closed,['33(1)(a)(d)(g)'],Canberra,2022-01-01T13:38:52.598757+11:00,1950 - 1953,1950,1953,04 Nov 2019,2019-11-04,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
Australia Meat Industry Employees' Union Queensland.,276712,A6122,197,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T13:38:53.567918+11:00,1953 - 1954,1953,1954,23 Apr 1987,1987-04-23,['33(1)(a)']
Courts Martial Proceedings Correspondence 1954 to May 1960,276902,A432,1963/4253,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:38:54.587165+11:00,1954 - 1960,1954,1960,04 Jun 1986,1986-06-04,['33(1)(g)']
Non-British European Migration from China Part 6,277191,A6980,S250793,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:55.793854+11:00,1968 - 1979,1968,1979,04 Aug 2010,2010-08-04,['Withheld pending adv']
Communist Activity - Pine Creek - Katherine - Mataranka Area N.T.,277741,A6122,356,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:38:56.803674+11:00,1951 - 1955,1951,1955,05 Aug 2013,2013-08-05,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
CPA [Communist Party of Australia] activity and interest in Sydney University - NSW. Volume 1 [93 pages. 60 of these contain exemptions],279306,A6122,269,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T13:38:57.862694+11:00,1952 - 1964,1952,1964,26 Apr 1996,1996-04-26,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']"
C P of A [communist] [party] [australia] interest in schools and education. Volume 1,279320,A6122,261,False,0,Closed,['33(1)(a)'],XNAA,2022-01-01T13:38:58.983974+11:00,1955 - 1955,1955,1955,08 Jun 1988,1988-06-08,['33(1)(a)']
Communist Party of Australia - activities in libraries - Canberra. Volume 1,279340,A6122,249,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:39:00.128675+11:00,1954 - 1954,1954,1954,19 Jan 2007,2007-01-19,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
Middle East - Joint Intelligence Committee weekly review of Middle East,279652,A1838,181/1/4 PART 1,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:39:01.167933+11:00,1956 - 1957,1956,1957,11 Jun 1991,1991-06-11,"['33(1)(a)', '33(1)(b)']"
Middle East - Joint Intelligence Committee - weekly review of Middle East,279653,A1838,181/1/4 PART 2,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:39:02.116539+11:00,1957 - 1969,1957,1969,19 Aug 1991,1991-08-19,"['33(1)(a)', '33(1)(b)']"
North Korea - Relations with the USA,279966,A1838,3125/11/161 PART 2,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:03.122142+11:00,1968 - 1968,1968,1968,03 Feb 2017,2017-02-03,['Withheld pending adv']
North Korea - Relations with the USA,279967,A1838,3125/11/161 PART 3,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:07.230758+11:00,1968 - 1968,1968,1968,03 Feb 2017,2017-02-03,['Withheld pending adv']
North Korea - Relation with the USA,279968,A1838,3125/11/161 PART 4,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:08.381816+11:00,1968 - 1970,1968,1970,20 Nov 2017,2017-11-20,['Withheld pending adv']
Korea - Political - General,280018,A1838,3127/2/1 PART 13A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:09.721897+11:00,1964 - 1964,1964,1964,24 Nov 2014,2014-11-24,['Withheld pending adv']
South Korea - Political - General,280019,A1838,3127/2/1 PART 13,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:10.739017+11:00,1961 - 1961,1961,1961,08 Dec 2014,2014-12-08,['Withheld pending adv']
Korea: Political - General,280020,A1838,3127/2/1 PART 14A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:11.723489+11:00,1964 - 1965,1964,1965,24 Nov 2014,2014-11-24,['Withheld pending adv']
Korea - Political - General,280022,A1838,3127/2/1 PART 15A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:12.779670+11:00,1965 - 1967,1965,1967,01 Dec 2014,2014-12-01,['Withheld pending adv']
"ANZUS Council meeting - Washington, November 1956",302544,A1209,1957/4254,False,0,Closed,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']",Canberra,2022-01-01T13:39:13.963340+11:00,1956 - 1956,1956,1956,06 Apr 2010,2010-04-06,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']"
South Korea - Economic,302600,A1838,3127/4/1 PART 4,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:15.108449+11:00,1963 - 1965,1963,1965,22 Nov 2021,2021-11-22,['Withheld pending adv']
Korea - Political - South Korea - General - Elections,302619,A1838,3127/2/4 PART 4,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:16.074156+11:00,1959 - 1960,1959,1960,24 Nov 2014,2014-11-24,['Withheld pending adv']
Korea - Political - General,302643,A1838,3127/2/1 PART 7A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:17.257938+11:00,1962 - 1962,1962,1962,24 Nov 2014,2014-11-24,['Withheld pending adv']
Korea - Political - General,302644,A1838,3127/2/1 PART 8A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:18.302046+11:00,1962 - 1962,1962,1962,08 Dec 2014,2014-12-08,['Withheld pending adv']
Korea - Political - General,302648,A1838,3127/2/1 PART 10A,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:39:19.280984+11:00,1963 - 1963,1963,1963,24 Nov 2014,2014-11-24,['Withheld pending adv']
"R.B. Burbridge, M.N. Lichtenfeld",303407,A367,C70069,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:39:20.265462+11:00,1940 - 1941,1940,1941,06 Jan 1987,1987-01-06,['33(1)(g)']
Charles Hartin MARCHANT [Repatriation case file] [Box 6682],310601,C139,RX222266,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T13:39:21.300352+11:00,1916 - 1956,1916,1956,22 May 1996,1996-05-22,['33(1)(g)']
"PENN R C, late 5th F C Engrs [5th Field Company Engineers] [2 pages]",323295,MP16/1,1918/2174,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T13:39:22.341955+11:00,1918 - 1918,1918,1918,04 Jan 1996,1996-01-04,['33(1)(g)']
Edward Walter NEOWHOUSE [Repatriation case file] [Box 6840],323574,C139,RX227200,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T13:39:23.677107+11:00,1941 - 1957,1941,1957,22 May 1996,1996-05-22,['33(1)(g)']
SCHMIDT Eric Albert,327010,D1915,SA3049,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T13:39:24.723421+11:00,1931 - 1954,1931,1954,26 Jan 1993,1993-01-26,['33(1)(e)(ii)']
"Gray, Collingwood Foster",328211,P130,M9752,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T13:39:25.765465+11:00,1919 - 1922,1919,1922,03 Jun 1996,1996-06-03,['33(1)(g)']
Koster Sophie - on parole,329061,MP16/1,1915/3/42,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T13:39:26.755097+11:00,1915 - 1918,1915,1918,08 Jun 1988,1988-06-08,['33(1)(g)']
"[modified title - name exempted] Adoption - Application. 3/4 caste, 1/4 chinese, 3/4 black.",333490,F3,20/116,False,0,Closed,['33(1)(g)'],Darwin,2022-01-01T13:39:27.797633+11:00,1937 - 1941,1937,1941,24 Jul 2018,2018-07-24,['33(1)(g)']
[modified title - names exempted] (application affidavits etc) Adoption,333523,F3,20/122,False,0,Closed,['33(1)(g)'],Darwin,2022-01-01T13:39:31.867614+11:00,1941 - 1947,1941,1947,05 Nov 2018,2018-11-05,['33(1)(g)']
Census 1933- - District (Katherine),339926,F504,8,False,0,Closed,['33(1)(d)'],Darwin,2022-01-01T13:39:32.851334+11:00,1933 - 1933,1933,1933,20 Oct 1997,1997-10-20,['33(1)(d)']
Census 1933-District M (Newcastle Waters),339934,F504,14,False,0,Closed,['33(1)(d)'],Darwin,2022-01-01T13:39:33.859207+11:00,1932 - 1933,1932,1933,20 Oct 1997,1997-10-20,['33(1)(d)']
Adoptions - Native and Half-Caste Children,340401,F1,1952/510,False,0,Closed,['33(1)(g)'],Darwin,2022-01-01T13:39:34.865327+11:00,1947 - 1956,1947,1956,03 Feb 1997,1997-02-03,['33(1)(g)']
Lunatics,340544,F1,1945/94,False,0,Closed,['33(1)(a)'],Darwin,2022-01-01T13:39:35.825390+11:00,1940 - 1948,1940,1948,01 Mar 1985,1985-03-01,['33(1)(a)']
State Childrens Council for Northern Territory Minutes of Meetings,340984,F1,1952/1037,False,0,Closed,['33(1)(g)'],Darwin,2022-01-01T13:39:36.868951+11:00,1950 - 1954,1950,1954,20 Jul 1998,1998-07-20,['33(1)(g)']
Petersen Mrs V and others - Wives of members of Australian Forces liable to restriction for health reasons,358391,A434,1948/3/9459,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:39:37.897080+11:00,1943 - 1948,1943,1948,08 May 1987,1987-05-08,['33(1)(g)']
"Dossier of Zeigler, Robert [Richard Albert Theodor Zeigler] - Dossier No. 832",381238,MP529/2,ZEIGLER/R,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:39.033689+11:00,1939 - 1940,1939,1940,24 Jan 1975,1975-01-24,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Wagner, Oscar Emile - Dossier No. 1088",381288,MP529/2,WAGNER/OE,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:40.149026+11:00,1939 - 1940,1939,1940,25 Jan 1985,1985-01-25,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Tronser, Hans - German - Dossier No. 395",381316,MP529/2,TRONSER/H,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:41.142917+11:00,1939 - 1941,1939,1941,25 Jan 1985,1985-01-25,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Tintrup, Charles Ludwig - Dossier No. 2349",381340,MP529/2,TINTRUP/CL,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T13:39:42.138562+11:00,1940 - 1940,1940,1940,25 Jan 1985,1985-01-25,['33(1)(g)']
"Dossier of Sobkowski, Leopold - Dossier No. 1469",381464,MP529/2,SOBKOWSKI/L,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:43.108982+11:00,1939 - 1940,1939,1940,02 Dec 1988,1988-12-02,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Schwarz, Bruno - Dossier No. 1445",381500,MP529/2,SCHWARZ/B,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T13:39:44.110105+11:00,1939 - 1940,1939,1940,18 Jan 1985,1985-01-18,['33(1)(g)']
"Dossier of Schmidt, Joseph [Fritz Yackels] - Dossier No. 33",381528,MP529/2,SCHMIDT/J,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:45.120139+11:00,1939 - 1940,1939,1940,17 Jan 1985,1985-01-17,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Ringwald, Heinrich - German - Dossier No. 99",381562,MP529/2,RINGWALD/H,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:46.156684+11:00,1939 - 1940,1939,1940,15 Jan 1985,1985-01-15,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Riggers, Karl Heinrich Gerhard - German - Dossier No. 919",381571,MP529/2,RIGGERS/KHG,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:47.114587+11:00,1939 - 1941,1939,1941,15 Jan 1984,1984-01-15,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Riech, Herbert - German - Dossier No. 187",381583,MP529/2,RIECH/H,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:48.152816+11:00,1939 - 1941,1939,1941,14 Jan 1985,1985-01-14,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Zenker, Hermann Adolf - Dossier No. 1079",381745,MP529/2,ZENKER/HA,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:49.132050+11:00,1939 - 1941,1939,1941,24 Jan 1985,1985-01-24,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of von Zeigler, Ludwig - Dossier No. 39",381760,MP529/2,ZEIGLER/LG VON,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:50.103190+11:00,1939 - 1940,1939,1940,24 Jan 1985,1985-01-24,"['33(1)(e)(ii)', '33(1)(g)']"
"Dossier of Wolfel, Karl Rudolph - German - Dossier No. 1158",381794,MP529/2,WOLFEL/KR,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Melbourne,2022-01-01T13:39:51.121395+11:00,1939 - 1941,1939,1941,24 Jan 1985,1985-01-24,"['33(1)(e)(ii)', '33(1)(g)']"
