identifier,series,control_symbol,title,series_title,contents_date_str,contents_start_date,contents_end_date,access_status,access_decision_date,reasons
55545,A106,G1924/3039,Increments to Permanent Professional Officers.,"Correspondence files, annual single number series with 'G' [General] prefix",1918 - 1925,1918-01-01,1925-01-01,Closed,2012-07-16 00:00:00,Withheld pending adv
58004,A88,2,Glass plate negative photograph of Norfolk Island - Landing at Cascade Station,Negatives of photographs of Norfolk Island,1914 - 1914,1914-01-01,1914-01-01,Closed,2002-02-26 00:00:00,Pre Access Recorder
58254,A101,NN,"ANNUAL SINGLE NUMBER SYSTEM WITH ""B"" PREFIX eg B 09/1234 1 2","Correspondence files, 'B' Series (NSW, Vic Tas)",01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1987-04-22 00:00:00,Pre Access Recorder
58255,A101,WHOLE SERIES,Department Home Affairs Correspondence files 'B' series (NSW Vic Tas),"Correspondence files, 'B' Series (NSW, Vic Tas)",1904 - 1909,1904-01-01,1909-01-01,Closed,1975-10-07 00:00:00,Pre Access Recorder
58449,A209,L1915/177,Right to conpensation. Land vested in Minister of Public Instruction,"Correspondence Files, Administrative Lands Series",1912 - 1915,1912-01-01,1915-01-01,Closed,1971-05-24 00:00:00,Pre Access Recorder
61459,A361,DSG24/856,Canberra's 1st 100 years by Dr. Robinson,"Correspondence files, annual single number series with 'DSG' [District Surveyor General] prefix",1924 - 1924,1924-01-01,1924-01-01,Closed,1979-11-14 00:00:00,Pre Access Recorder
61995,A367,C82067,Heinrich Johannes RATHJENS Applicant for naturalization,"Correspondence files, single number series with year prefix, 1916-1927, and 'C' prefix, 1927-1953 [Main correspondence files series of the agency]",1949 - 1950,1949-01-01,1950-01-01,Closed,1981-11-30 00:00:00,Pre Access Recorder
62330,A292,C7106,Industrial - Compensation - R C White (Ganger),"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1934 - 1943,1934-01-01,1943-01-01,Closed,1980-10-03 00:00:00,Pre Access Recorder
62579,A292,C24002 PART 5,Cartage of sand and gravel to sandwash,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1953,1952-01-01,1953-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62581,A292,C24021 PART 3,"Section 14, Ainslie - Multiple dwelling units - 72 flats","Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1950 - 1951,1950-01-01,1951-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62582,A292,C24021 PART 4,"Section 14, Ainslie - Multiple dwelling units - 72 flats","Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1951 - 1952,1951-01-01,1952-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62583,A292,C24021 PART 5,"Section 14, Ainslie - Multiple dwelling units","Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1956,1952-01-01,1956-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62640,A292,C26062 PART 3,University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1950 - 1951,1950-01-01,1951-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62641,A292,C26062 PART 4,University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1951 - 1952,1951-01-01,1952-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62642,A292,C26062 PART 5,University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1952,1952-01-01,1952-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62643,A292,C26062 PART 5A,University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1952,1952-01-01,1952-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62644,A292,C26062 PART 6,University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1953,1952-01-01,1953-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62645,A292,C26062 PART 7,Australian National University. House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1953 - 1954,1953-01-01,1954-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62646,A292,C26062 PART 8,Australian National University. House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1954 - 1954,1954-01-01,1954-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62647,A292,C26062 PART 9,Australian National University Houses - University House - Contract with Howie Moffatt and Company,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1954 - 1955,1954-01-01,1955-01-01,Closed,1980-09-09 00:00:00,Pre Access Recorder
62665,A295,34,"Contract for supply, delivery and erection of Bullion Lift at Perth.","Contract agreements, single number series",1930 - 1931,1930-01-01,1931-01-01,Closed,1979-10-31 00:00:00,Pre Access Recorder
62666,A295,38,Contract for supply and installation of lifts in Commonwealth Bank at Perth,"Contract agreements, single number series",1930 - 1931,1930-01-01,1931-01-01,Closed,1979-11-01 00:00:00,Pre Access Recorder
62667,A295,55,Contract for supply and delivery of lift cars at Commonwealth Bank in Perth,"Contract agreements, single number series",1932 - 1932,1932-01-01,1932-01-01,Closed,1979-11-01 00:00:00,Pre Access Recorder
62785,A295,935,"Contract for alterations and additions to Canberra Telephone Exchange, No 1 Secretariat","Contract agreements, single number series",1939 - 1944,1939-01-01,1944-01-01,Closed,1979-11-06 00:00:00,Pre Access Recorder
62850,A356,WHOLE SERIES,Papers relating to the disposal of Plant Henderson and Flinders Naval Base,"Papers relating to the disposal of Plant, Henderson & Flinders Naval Base",1924 - 1924,1924-01-01,1924-01-01,Closed,1975-10-07 00:00:00,Pre Access Recorder
64727,A427,G1939/95,Crown Solicitor's Opinions,"Correspondence files, annual single number series with 'G' (general staff and establishment) prefix",1939 - 1939,1939-01-01,1939-01-01,Closed,1977-11-23 00:00:00,Pre Access Recorder
65454,A373,5117,[Home Office suspect index],"Correspondence files, single number series [Main correspondence files series of the agency]",1946 - 1950,1946-01-01,1950-01-01,Closed,1980-11-26 00:00:00,33(1)(b)
65737,A406,E1920/1799 PART 1,Papers concerning question of proportional representation,"Correspondence files, annual single number series with 'E' prefix",1918 - 1920,1918-01-01,1920-01-01,Closed,1987-04-01 00:00:00,Pre Access Recorder
65841,A414,20,Empty folder,"Correspondence files, single number series with occasional sub-numbering",01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1972-11-27 00:00:00,Pre Access Recorder
65847,A414,24,Empty Folder,"Correspondence files, single number series with occasional sub-numbering",01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1972-11-21 00:00:00,Pre Access Recorder
66297,A425,1939/363,"Internal check. Amendment to booklet on Receipts, Refunds, Drawback (FILE cover only)","Correspondence files, annual single number series [Main correspondence files series of the agency]",01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1979-04-27 00:00:00,Pre Access Recorder
66308,A425,1939/626,Class Machinery etc. Kneading Machine for Macaroni Machine,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1939,1931-01-01,1939-01-01,Closed,1979-04-19 00:00:00,Pre Access Recorder
66781,A432,1929/7,"Income Tax Assessment Act 1922-28. Taxability of remuneration attributable to service, outside Australia.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-06 00:00:00,Pre Access Recorder
66782,A432,1929/9,Income Tax Assessment Act. See. 65 - Tax payable by absentee Shareholders,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-06 00:00:00,Pre Access Recorder
66786,A432,1929/21,"Dr Bretherton formerly Medical Officer, New Guinea - claim of","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-06 00:00:00,Pre Access Recorder
66787,A432,1929/22,Commonwealth Electoral Act 1918-1928 Sec. 161 (d) Poster exhibited under authority of G.S. McLean,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-06 00:00:00,Pre Access Recorder
66788,A432,1929/23,Seymour (Vic) Railway Station. Proposed erection of wicket gate in lieu of Cattle pit at.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-06 00:00:00,Pre Access Recorder
66804,A432,1929/93,"Income Tax Assessment Act. 1922/25 - Sale of Sheep in Wool ""Erudina"" Station, S.A.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-05-04 00:00:00,Pre Access Recorder
66811,A432,1929/136,Income Act Assessment Act 1922/25-1922/27 Penfolds Wines Ltd.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-05-04 00:00:00,Pre Access Recorder
66826,A432,1929/166,Contract with D. Berecry for erection of cottage for FCC [Federal Capital Commission] proposal for cancellation of contract,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-05-04 00:00:00,Pre Access Recorder
66862,A432,1929/288,"Navigation Act, 1912-1926. Power to Cancel or Suspend Engineers' Certificate ""Yarra"" - ""Lady Isobel"" Collission.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-17 00:00:00,Pre Access Recorder
66869,A432,1929/301,Income Tax Ass. Act 1922-28 Estate of late Henry Berry. Legacy to W.B. McCutcheon,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-15 00:00:00,Pre Access Recorder
66910,A432,1929/394 ATTACHMENT 2,Abrahams. Opinions.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1927 - 1928,1927-01-01,1928-01-01,Closed,1977-02-02 00:00:00,Pre Access Recorder
66911,A432,1929/394 ATTACHMENT 3,"Legal opinions expressed by O Dixon, E Gorman and E Mitchell in Abrahams Bros case","Correspondence files, annual single number series [Main correspondence files series of the agency]",1928 - 1928,1928-01-01,1928-01-01,Closed,1977-02-02 00:00:00,Pre Access Recorder
66967,A432,1929/441,"Leases Ord. 1927/28 of Territory for Seat of Govt. Whether Public Trustee of N.S.W. can administer Estate of J. Bradbury, a deceased lessee.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-25 00:00:00,Pre Access Recorder
66973,A432,1929/477,"Commonwealth Housing Act, 1927/28 FCT (Federal Capital Territory) - advance to person who already owns a house.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-26 00:00:00,Pre Access Recorder
66975,A432,1929/480,Federal Capital Commission - Liability for injuries to passenger whose finger caught in a nut on a Motor Omnibus,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-27 00:00:00,Pre Access Recorder
66976,A432,1929/481,Sarang Plantations Ltd - Question of recovery of debt due to Custodian of Expropriated Property.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-27 00:00:00,Pre Access Recorder
66978,A432,1929/488,Claim of Yellow Cabs of Australia Ltd. for damage done to Yellow Cab by Defence Department Tractor.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-28 00:00:00,Pre Access Recorder
66979,A432,1929/489,"Musgrove's Ltd., Perth, West Australia - Income Tax Assessment Act 1922/28","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-09-28 00:00:00,Pre Access Recorder
66980,A432,1929/493,Income Tax Assessment Act 1922/28: The Young Men's Christian Association.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1977-10-28 00:00:00,Pre Access Recorder
67017,A432,1929/590,MARINE INSURANCE ON FURNITURE AND EFFECTS.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-02-06 00:00:00,Pre Access Recorder
67025,A432,1929/1448,Treaty of Peace Regs. question whether the Public Trustee should charge commission under Reg 62 in respect of plantations New Mobisberg and others.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67026,A432,1929/1449,"C'wealth Electoral Act 1918/28 Sec. 170 Alleged Offences by W. & C. Campbell, Wollongong, N.S.W.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67073,A432,1929/1217,"Cargo Salved ex S.S. ""Rio Claro""","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67075,A432,1929/1227,Re. Ex No.2134 War Worker C. Burns,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67076,A432,1929/1228,"Income Tax Assessment Act 1922-28 ""Kansas"" General Average Fund.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67085,A432,1929/1250,Gift of Land at Hunters Hill N.S.W. by Committee of DR H.S. Lloyd Memorial Fund for Drill Hall purposes.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67092,A432,1929/1259,War Service Homes Act 1918-27. Sections 18 and 19. Applicant J.S. Middleton. Substitution of new Contract of Sale for existing Contract of Sale,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-30 00:00:00,Pre Access Recorder
67123,A432,1929/851,Naval Financial Regs. (S.R. 198 of 1926) Reg. 42 Payment of dependant allowance to mother of Telegraphist W.E. Taylor.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-24 00:00:00,Pre Access Recorder
67124,A432,1929/852,"Superannuation Act 1922/4 Sect. 60(1). Late Squadron Leader F.E. Sandford, RAAF","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-24 00:00:00,Pre Access Recorder
67241,A432,1929/00664,Land Tax Assessment Act 1920/28 Estate of Sir S. Fraser decd.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-12 00:00:00,Pre Access Recorder
67246,A432,1929/00675,Australian Military Regulations Reg 201 Licences to effect installations at Liverpool Camp.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-12 00:00:00,Pre Access Recorder
67257,A432,1929/703,"Telephone Regs, Reg B. Irregular Telephone Service - A.J. Lucas, Sydney","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-12 00:00:00,Pre Access Recorder
67278,A432,1929/748,Attorney-General's Department: Income Tax Assessment Act 1922-1928 - Question of Power to make valid Regulations under Section 16C,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-07 00:00:00,Pre Access Recorder
67289,A432,1929/793,Attorney-General's Department: Income Tax Assessment Act 1922-1928 - Taxability of Pensions paid to Ex - employees,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-07 00:00:00,Pre Access Recorder
67305,A432,1929/810,Case of F. U'Ren. Superannuation.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1928 - 1929,1928-01-01,1929-01-01,Closed,1975-01-24 00:00:00,Pre Access Recorder
67408,A432,1929/1893,Motor Vehicles (Special Licences) Act 1928 of South Australia - Licensing of Motor Vehicles used by PMG Dept.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-09-08 00:00:00,Pre Access Recorder
67409,A432,1929/1894,Louie Gut - Immigration Act prosecution,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-09-08 00:00:00,Pre Access Recorder
67416,A432,1929/1905,Income Tax assessment Act - Estate of Arthur Williams (Decd),"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-09-08 00:00:00,Pre Access Recorder
67430,A432,1929/1954,Trading Hours Ordinance - FCT [Federal Capital Territory],"Correspondence files, annual single number series [Main correspondence files series of the agency]",1926 - 1929,1926-01-01,1929-01-01,Closed,1972-05-15 00:00:00,Pre Access Recorder
67444,A432,1929/2020,"Customs Act, 1901-25, Sec. 234(e). J. Reid and nephews, Brisbane. Steam Crane - value for duty.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67445,A432,1929/2021,"Australian Soldiers Repatriation Act, 1920-29, Part 111, Div. 3 - Jurisdiction of Assessment Appeal Tribunal to determine question under 5th Schedule to Act.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67446,A432,1929/2027,"Commonwealth Electoral Act, 1918-28. Proscn. of R.W. Hill and A.A. Townsend Question of Appeal","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67451,A432,1929/2033,Whether the F.C.C. Federal Capital Commission can divulge the contents of a prescription for a rabbit poison purchased by it.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-23 00:00:00,Pre Access Recorder
67452,A432,1929/2034,"Gaming & Betting Act, 1906 sec. 20 (N.S.W.) Canberra Turf Club & bet owing by A.J. Ross","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-23 00:00:00,Pre Access Recorder
67454,A432,1929/2035,General Conditions of Building Contracts. Assignment or moneys payable under contract.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67456,A432,1929/2037,"Constitution of the C'wealth, sec. 114. Liability of C'wealth for rates. Lease of property from Launceston Marine Board for Naval Drill Hall purposes. Rates claimed by Launceston City Council. Agreement by C'wealth to pay Rates.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67460,A432,1929/2049,"Estate Duty Assessment Act, 1914-28, Sec 8 (7)","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67461,A432,1929/2050,"Bankruptcy Act, 1925-1928 Audit of Trustees' Accounts.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1976-04-05 00:00:00,Pre Access Recorder
67499,A432,1929/2421,Territory for Seatof Govt. Depasturing of Stock on Public Roads under agreement for letting of grazing. Liability of Commission for Accident,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1972-05-15 00:00:00,Pre Access Recorder
67522,A432,1929/2642,"Contributions to Superannuation Fund - N.S.W. ""Public Service (Superannuation) Act 1903.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1904 - 1904,1904-01-01,1904-01-01,Closed,1977-05-31 00:00:00,Pre Access Recorder
67598,A432,1929/2827,"""Dorothy H. Sterling"" Sale and Transfer of ownership. Pass to proceed to another British port.","Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-23 00:00:00,Pre Access Recorder
67603,A432,1929/2835,Agreement between the FCC and Monolyse Constructions (Vic and South Australia) Ltd. Whether the Commission can deduct amount due for goods supplied from moneys due under the agreement.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-23 00:00:00,Pre Access Recorder
67604,A432,1929/2836,Order for payment of alimony pendente site maintenance and costs and decree nisi. Are they Judgements under Sec. 64 of C'wealth P.S. Act 1922/28. Case of M. H. Clarke,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1975-01-23 00:00:00,Pre Access Recorder
67608,A432,1929/2850,Workmen's Compensation Act - 1912. FCT [Federal Capital Territory]. Whether the Federal Capital Commission should pay the expenses of an operation.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1929 - 1929,1929-01-01,1929-01-01,Closed,1972-05-15 00:00:00,Pre Access Recorder
68257,A431,1946/2235,Transport. Bus Passes. Returned Soldiers. Part 2,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1944 - 1948,1944-01-01,1948-01-01,Closed,1979-06-22 00:00:00,Pre Access Recorder
68542,A431,1947/792,North Australia Development Committee. 5th Meeting - 13th and 14th March 1947,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1947 - 1947,1947-01-01,1947-01-01,Closed,1980-02-26 00:00:00,Pre Access Recorder
68985,A431,1948/1124,International Meteorological Organisation - Meeting of Executive Council at Oslo August 1948,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1948 - 1948,1948-01-01,1948-01-01,Closed,1980-03-19 00:00:00,Pre Access Recorder
69069,A431,1948/1592,Iron Ore Investigation - Part file only - Main Portion transferred to Dept. Supply & Development.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1941 - 1943,1941-01-01,1943-01-01,Closed,1987-04-22 00:00:00,Pre Access Recorder
69185,A432,1931/01920,"re Publication ""Kangaroo"" Appln. for registration as newspaper","Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1977-05-23 00:00:00,Pre Access Recorder
69208,A432,1931/01995,Printing of telephone directories : W.A.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1977-05-23 00:00:00,Pre Access Recorder
69236,A432,1931/2059,Fourth Division Officers Association & PSB (No 28 of 1931),"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1976-04-13 00:00:00,Pre Access Recorder
69243,A432,1931/2073,Income Tax Assessment Act 1922/31 Income Tax Acts 1930: Sec 7A: Bookmakers fees on Flemington Racecourse,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1976-04-13 00:00:00,Pre Access Recorder
69245,A432,1931/2077,Sales Tax: Shell Co. of Australia Ltd.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1976-04-13 00:00:00,Pre Access Recorder
69266,A432,1931/2128,FCT [Federal Capital Territory]: Loans under the Housing Ord to Rural Lessees: Whether the time within which it was provided the loan shd be repaid can be extended,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1931,1931-01-01,1931-01-01,Closed,1976-04-08 00:00:00,Pre Access Recorder
69274,A432,1931/02141,Sales Tax: Sales to State Government Depts.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1931 - 1933,1931-01-01,1933-01-01,Closed,1976-04-09 00:00:00,Pre Access Recorder
69305,A432,1932/37,Wheat Bounty Act 1931 - Effect of South Australian Farmers' Relief Act 1931 and the South Australian Debt Adjustment Acts 1929 and 1930 on payments to growers.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1932 - 1932,1932-01-01,1932-01-01,Closed,1976-06-01 00:00:00,Pre Access Recorder
69323,A432,1932/232,Sales Tax Asst. Acts 1930-31. Massey Harris Co. Ltd. - H.V. McKay Massey Harris Ltd.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1932 - 1933,1932-01-01,1933-01-01,Closed,1977-10-06 00:00:00,Pre Access Recorder
69324,A432,1932/233,Sales Tax Asst. Sets Securities Change of Companys name Austin Distributors Ltd.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1932 - 1932,1932-01-01,1932-01-01,Closed,1977-10-06 00:00:00,Pre Access Recorder
69325,A432,1932/234,Advertising in Official Public Telephone Cabinets - Agreement between PMG and Interstate Advertising Company Ltd - Deed of Charge to Debenture Holders Cancellation of contract,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1932 - 1932,1932-01-01,1932-01-01,Closed,1977-10-06 00:00:00,Pre Access Recorder
69332,A432,1932/250,Post and Telegraph Act 1901/23 Sec 117A N.S.W. Govt. Private Branch Exchange. Private Telephone Directory.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1932 - 1932,1932-01-01,1932-01-01,Closed,1977-10-06 00:00:00,Pre Access Recorder
